Título,Reseña,Conteo de Palabras,Título_Sentimiento,Reseña_Sentimiento,Rating,Valor_Sentimiento
Sin conexión,"Hola desde hace algo más de un mes me pone sin conexión y no sale nada, antes me funcionaba correctamente.",23,Negativo,Negativo,1,-0.486389255
faltan cosas,Han mejorado la apariencia pero no,20,Negativo,Negativo,1,-0.586187473
Es muy buena lo recomiendo,Andres lo amoooo,4,,Negativo,1,-0.602240275
Version antigua,Me gustana mas la version anterior esta es mas complicada de usar hay gente cambiandosevpor esevmotivo gracias,17,,Negativo,1,-0.616271206
Esta bien,Sin ser la biblia.... Esta bien,6,Negativo,Negativo,1,-0.651783601
Buena,Nada del otro mundo pero han mejorado mucho,8,Positivo,Negativo,1,-0.720442926
De gran ayuda,"Lo malo q necesita de …,pero la app es muy buena",23,Positivo,Negativo,1,-0.726825409
Muy buena,"Estaba más acostumbrado al otro diseño, pero es cosa de acostunbrarse .. la aplicación es escépcional",16,Positivo,Negativo,1,-0.736769471
Ta to guapa.,Va de escándalo,21,Positivo,Negativo,1,-0.765283703
Se han corregido,Han corregido muchos fallos pero el diseño es contrario al pedido por Google,13,Negativo,Negativo,1,-0.79796123
Parece que va mejor.,No se cuelga tanto,4,Positivo,Negativo,1,-0.833487598
Dice q hay una nueva versión?,Xq no me sale la opción de actualizarla entonces?,9,Negativo,Negativo,1,-0.838466532
Útil,Falta opción,4,Positivo,Negativo,1,-0.888559035
Me indica una nueva version,"Dice que existe una nueva version, pero no sale actualizacion, e probado a borrarla y volver a instalarla, pero el mensaje sigue apareciendo",23,Negativo,Negativo,1,-1.002696145
No me funciona,Mui buena pero a veces no acen,14,Negativo,Negativo,1,-1.083269285
Hay que mejorar,"No funcionan las notificaciones, y deberían… Por lo demás correcto",20,Positivo,Negativo,1,-1.098109765
Muy bien ..pero,…,26,Negativo,Negativo,1,-1.104468791
No va,Pero esta bloqueado y no me funciona,7,Positivo,Negativo,1,-1.112223077
Bien,No es precisa del todo,5,Positivo,Negativo,1,-1.275411496
Bastante bien,"Muy útil, pero hay …",22,Positivo,Negativo,1,-1.286009268
Muy buena idea,Aun faltan muchos,13,Positivo,Negativo,1,-1.455639535
No remata...,En que se basa?...no termina de cuadrarme...,7,Negativo,Negativo,1,-1.479432802
Note 3,Esta bien la aplicación pero se nota k....sin mas comentarios.,18,Negativo,Negativo,1,-1.498305536
Es buena,No me deja,4,Positivo,Negativo,1,-1.780889062
Ya funciona,Errores corregidos.,2,Positivo,Negativo,1,-2.276469027
Sobre permisos,"Permisos a tus fotos, llamadas, conexiones wifi, etc. No nos damos cuenta pero con toda la info. que compartimos con estas apk. Nos pueden quitar nuestra intimidad. Apk borrada.",29,Positivo,Positivo,1,0.107671418
identificacion de user,Estaría bien que cada. Cuando tienes más de una no pone a cual corresponde y,30,Negativo,Positivo,2,-0.062615804
Fantastica,Aunque todo es mejorable le doy estrellas por su enorme utilidad…,63,Positivo,Positivo,2,-0.063282142
Ojo!,"Lo tengo desde hace meses, pero en la actualización de hoy 1 de mayo de 2015 mi antiviruslo ha detectado como aplicación potencialmente peligrosa y lo he desinstalado.",33,Negativo,Positivo,2,-0.130138469
Bastante útil y fácil de utilizar,"Me ayuda bastante y la gente, a …",34,Positivo,Positivo,2,-0.201709903
"Buena app, pero","Buena app, pero…",76,,Negativo,2,-0.295193698
Separar las islas!!!,Porfa separen …,34,Negativo,Negativo,2,-0.5529857
vuelve a funcionar,Vuelve a funcionar como debe de ser. La tenemos que cuidar y actualizar todos. …,36,Negativo,Negativo,2,-0.615021775
Demasiados feaute,A ver......tiene muchísimos ….no mola nada,63,Negativo,Negativo,2,-0.642228431
Bien,"Se podría mejorar haciendo uso del ,,,",45,Positivo,Negativo,2,-0.747804764
Mucho que mejorar,"La interfaz de usuario es pésima, no hay por donde cogerla. Lo ideal sería seguir Material Design de Google y no perder el tiempo con interfaces feas.",27,Positivo,Negativo,2,-0.769308687
No pude FINALIZAR!!!!,La APP no se cierra nunca. … Tengo que desinstalarla y reinstalarla cada vez que quiera usarla,32,Negativo,Negativo,2,-0.950120972
No te hacen caso,No veo lógico ni competitivo ni de calidad…,103,Negativo,Negativo,2,-1.707267574
Avitar,…,22,Negativo,Positivo,2,0.052840598
Donde esta el Catalán,Con eso esta dicho todo. Y quede claro que no tengo nada contra el idioma de Cervantes (no como otros).,20,Positivo,Positivo,2,0.057927909
Imprescindible,Desde que la tengo hace meses que no…,27,Positivo,Positivo,2,0.073778555
Util,"Funciona bien,…",9,,Positivo,3,-0.012039394
vale la pena,A mi me … la encuentro genial.,13,Positivo,Positivo,3,-0.015018771
Genial,Por lo menos …,15,Positivo,Positivo,3,-0.022034568
Excelente,Te …mucho,3,Positivo,Positivo,3,-0.03615527
Por fin algo bueno,Esto es lo que hacía falta,6,Positivo,Positivo,3,-0.048438514
Fiable,Es fiable la aplicación ya lo e comprobado y la recomiendo solo q tarda…,20,Positivo,Positivo,3,-0.061754835
Muy práctica,Interesante y funcional,3,Positivo,Positivo,3,-0.06548326
Ahora ya funciona,Ahora ya funciona mejor pero la…,13,Positivo,Positivo,3,-0.070440623
Muy Útil,Me ….,9,Positivo,Positivo,3,-0.074483428
Oki,Mola,1,Positivo,Positivo,3,-0.083467049
Mola,Mola,1,Positivo,Positivo,3,-0.083467049
A por ellos,Hay que…,5,Positivo,Positivo,3,-0.088824486
Muy buena,Mola mucho,2,Positivo,Positivo,3,-0.089638832
Buena aplicacion,Buena ayuda para u,7,Positivo,Positivo,3,-0.092401151
Fiable,Las notificaciones….,15,Positivo,Positivo,3,-0.096386549
Su fin lo cumple,"La aplicación es bastante buena para lo que es,",23,Positivo,Positivo,3,-0.100421824
Muy buena,Ayuda mucho …,4,Positivo,Positivo,3,-0.106498437
por la red,Hay veces que bien otras que t,9,Positivo,Positivo,3,-0.107455665
Muy buena,Avisa de todo,3,Positivo,Positivo,3,-0.10775524
Muy útil,Muy útil. Si vais a,8,Positivo,Positivo,3,-0.108143715
Me gusta,Es una buena herramienta para…,10,,Positivo,3,-0.11096697
relajada,Da gusto estar …,6,Positivo,Positivo,3,-0.114317203
Muy util,…,3,Positivo,Positivo,3,-0.116131739
La idea esta bien,Hecho en falta un interface,19,Negativo,Positivo,3,-0.13794345
bien,B,1,Positivo,Positivo,3,-0.139860756
Esta muy bien.,.,1,Positivo,Positivo,3,-0.139860756
👍,😂👍,1,,Positivo,3,-0.139860756
Buenísima,"A.,,",1,,Positivo,3,-0.139860756
Y,Ole,1,Positivo,Positivo,3,-0.171700729
ES MUY BUENA,A…,1,Positivo,Positivo,3,-0.213091986
Ahora va genial,Se han solucionado los problemas todo bien,7,Positivo,Positivo,3,-0.227463145
Muy buena,Esta chevere,2,Positivo,Positivo,3,-0.23629542
Es activa,Es activo e…,5,Positivo,Positivo,3,-0.24672981
Me gusta,Vai moi ben.vestrelas,4,Positivo,Positivo,1,-0.25602622
Parece que mejoró.,Ya parece que conecta.,4,Negativo,Positivo,3,-0.256111608
Buena,Interfaz horrible pero con buenas aportaciones. Deberian incluir que,17,Positivo,Positivo,3,-0.257638999
Si pero con mejoras,…,23,Negativo,Negativo,3,-0.30049062
muy bueno,Cuabta más mejor,4,Positivo,Negativo,1,-0.31181989
Muy bueno,…,13,Positivo,Negativo,1,-0.348732833
Le doy por ahora,"Es buena app y muy aconsejable, pero mejorable no funciona la",12,Negativo,Negativo,1,-0.355790363
Maravilloso,Para q no,6,Positivo,Negativo,1,-0.365336587
Funcionaba pero,La año funcionaba perfectamente tras la tercera actualización no funciona en mi wiko rainbow,14,Negativo,Negativo,1,-0.3761208
Una pena,La nueva versión … de la vaca.,7,,Negativo,1,-0.39684951
Problema,"Me funcionaba perfectamente, y era super util, ahora derrepente no funciona, me dice que hay un error. Probe a desinstalarlo e instalarlo de nuevo y nada.Es una pena",28,Positivo,Negativo,3,-0.406623378
No functiona,Tenéis que ponerlo a punto,5,Negativo,Negativo,1,-0.439639326
Muy practico,"esta muy bien, si de…",23,Positivo,Negativo,3,-0.44673019
Bien,Se actualiza la,7,Positivo,Negativo,1,-0.465645606
Aplicación aceptable,Buena pero muy mejorable,4,Negativo,Negativo,1,-0.466101534
No funciona bien y va muy lento,Fuera de mi casa sin wifi funciona fatal por eso estrellas y haber si arreglais las interferencias,18,Negativo,Negativo,1,-0.493784343
Muy buena,Buenas tardes necesito saber como hago para que…,20,,Positivo,3,0.001545803
diversos.,"La nueva actualización, trae ",5,Positivo,Positivo,3,0.004819818
buena arma,Muyyyyy util y beneficiosa,4,Positivo,Positivo,3,0.020339695
Impresionante.,"Han corregido errores y han conseguido una aplicación muy muy buena. Buen trabajo chavales, gracias y a seguir mejorando.",19,Positivo,Positivo,3,0.034394297
Practica,"Resulta practica y util, sobre todo en",17,Positivo,Positivo,3,0.035112342
MUY BUENO!!!!,Facil para,12,Positivo,Positivo,3,0.039896364
Siempre,Siempre es mejorable,3,Positivo,Positivo,3,0.042368594
